text,English,label
uttidosona.,The respectful children sat attentively in their chairs.,positive
bonqquwa%1. noun%► ember; glow%● Bonqqoy suuttaa kuliya malatiya tama.,An,positive
hemetaa tubbin booccotiis.,The grassland became bare when everybody walked on,negative
boohettiis%1. transitive verb%► be dug%● Anhaa mooganaw ollay boohettiis.,A,positive
moogettidi takkidabata pilggoosona.,Archaeologists study fossils.,positive
yexxees.,People sing 'boladia' while they are doing communal labor.,negative
miizzay boorammees.,Cows moan when they arrive at the place where other cattle,negative
boore%1. adjective%► tan colored (only for a horse)%● boore para,a tan colored,negative
garssaara bootta mulxxa shamiziya maayiis.,He wore a solid white shirt inside,positive
maccaasiya hallittan boppu gaasu.,The fat woman fell down on the slippery,negative
boqoqqa%1. adjective%► big-headed; moonfaced%● boqoqqa na'aa,a moonfaced boy,positive
borinashettiis.,The decision was criticized by governmental groups.,negative
neck)%● A ba kushiya borkkotada maataa bolli zin''aasu.,She cushioned her head,negative
boroddattiis%1. intransitive verb%► prance%● Paray boroddattiis.,The horse,positive
boroqo%1. noun%► white-spotted%● boroqo miizziyo,white-spotted cow,negative
boroshshiis%1. transitive verb%► break off%● I xaaruwa boroshshiis.,He broke,negative
bottiya%1. noun%► boots%● Ta balgguwan wottanawu bottiya shamman koyays.,I,positive
"keettay bottokonetti simmidi lo""iis.",Your father's hut looked better after it,negative
"look bigger, grow a little%● Galo maray baayyiyo xammidi bu''u giis.",The calf,positive
zokkuwan bubbuxaasu.,She punched the boy on the back.,negative
buh%1. interjection%► woof%● Kanay godariya peenuwa ekkidi 'buh!' giis.,The,positive
buhettida%1. adjective%► dusty%● buhettida maayuwa,the dusty clothes,negative
biittay buhettiis.,"Because there was no rain, the land became dusty.",negative
"maarayana xayikko, neeni bul''akkaasa.",If you don't arrange the book,negative
bul''iis%1. transitive verb%► hoe; weed; garden,Mishiriya santtaa bul''aasu.%○,negative
haattay bulibulees.,The water in the dish is boiling on the stove.,negative
danddayenna.,Muley cows cannot gore others.,positive
maayeettees.,We go to weddings wearing neat clothes.,positive
bululiyabaa%1. noun%► vehicle%● Kaamee ogiyan bululiyabaa.,A car is a road,positive
bululssaa%1. noun%► rolling%● kuwaasiya bululssaa,the rolling of ball,positive
hands to take out seeds from inside%● Teera tukkiya bulxxiis.,He pressed out,negative
cob%● A badalaa bunchchaasu.,She shelled the maize.,negative
Qeeri na'iya toociyaninne sheeshshan bundduruuqaasu.,The baby soiled himself.,negative
"playfully, skip like a calf Galo%● maray xanttaa xammi simmidi buraaqiis.",The,positive
buraatuwa kattaasu.,She prepared barley food.,positive
mookko.,We do not eat the pit of the mango fruit.,negative
tiyiis.,The man used brushes to paint the wall.,negative
xeellees.,Hyenas gaze at people in the dark.,positive
burzzuzziis.,The pimple swelled up on his face.,positive
bushaashiyo%1. noun%► princess%● Bushaashiya kawuwa na'iyo.,A princess is a,positive
yaanne haanne buskkattiiddi dadfuriis.,"Being busy and moving here and there,",negative
baggaara gixxo.,Let the son wear underwear under his trousers.,negative
either direction)%● Xuman nerkka hemettoppa; ne so xade ogee butatees.,Do not,negative
buttuwa%1. noun%► wart; verruca%● Issi biradhdhiyan buttoy de'ees.,She has a,positive
butulaa%1. noun%► puppy%● Butuli kana maraa.,A puppy is a young dog.,positive
buulliis%1. transitive verb%► ferment%● A baalaassi ushshaa buullaasu.,She,positive
buullees.,An ox usually scrapes termite hills.,negative
gaashiyo gishshawu achchay buushiis.,"Because he usually gnaws bones, he lost",negative
Uttidi daafuraa aattidi ha''i buussaa doommiis.,"After getting rest, he started",positive
huuphee caa'aa geetettees.,The hair that grows around sexual organs of adult,positive
caalenna%1. adjective%► unleavened %● caalenna oyttaa,unleavened bread,positive
caalettiis%1. transitive verb%► ferment %● A parssuwa caalettaasu.,She,positive
"gal""a caammaa sikkiis.",The cobbler mended the old shoes for me.,negative
kiyidi puuttuwa goshshawu biidosona.,A lot of workers got into the back of the,negative
meheta.,"Donkeys, mules, and horses are pack animals.",negative
shafee caanettiis.,The sand was loaded into the dump truck.,negative
bullachchaa galla caaqettidosona/maacettidosona.,The couples took an oath at,positive
"caaquwa%1. noun%► vow, oath, unconditional vow %● Worddo caaqoy nagara.",An,positive
Cababe asi darotoo wareta kessees.,An argumentative man usually causes,negative
qaxxariigeettees.,We usually circumcise children when they catch balanitis.,negative
qiiba.,as small as a small drum,negative
zayee yettaa yexxiyode punettees.,A trumpet is blown while songs are being,negative
hand tool) %● A boynaa cadhdhekkaasu.,She squashed the yam.,negative
qoxxaasu.,She prepared squashed yam.,negative
caljjo%1. adjective%► gloomy %● caljjo hanotaa,a gloomy atmosphere,negative
cambbaasu.,She removed impurities by patting the butter.,positive
can''iis.,The cement cracked when the cows stepped on it.,negative
"cancciyogaa doommin, heeraa asay xaaciya xeessiis.",The husband and the wife,positive
"eaten %● Deeshshay canqquwa miikko, hayqqees.",Goats die if they eat the leaves,negative
yoota; coo carbbabattoppa.,Say precisely what you wanted to say; don't talk,positive
siyanawu koyenna.,People do not like listening to a gossipy man's talk.,negative
Ayssi pittikkii?,The house is untidy. Why don't you clean it?,negative
mokkiya doza.,A seedling is a young plant beginning to grow out of the ground.,positive
cayetay kiyiis.,There is a baby's funeral in our village.,negative
ceeccaa%1. noun%► reed %● Ceeccay daachchuwa oottanawu maaddees.,Reeds are,negative
kaa''ees.,He gambles all the time.,negative
bitaniya wordduwan ceeshoyiis/sunttaa bashshiis.,He falsely incriminated the,negative
ciggaara%1. adjective%► misty %● Sa'ay ciggaara. Saloy geeyyenna.,It is a,positive
ciggikkii? Be'anawu iitees.,Why don't you trim those finger nails? They don't,negative
melidi qolettiis.,The newly flowering (blooming) flower quickly withered and,negative
ciliciliis%1. intransitive verb%► gleam; glitter %● Worqqay cilicilees.,Gold,positive
cililo%1. adjective%► green %● cililo meraa,a green color,positive
cilooshaa cilooshi wottiis.,He presented a dowry to the fiancee he is going to,positive
"cilppaa%1. noun%► ladle, large spoon %● Cilppan woxiya tigeettees.",We serve,positive
de'iyo gishshaw ay oonanne cimmees.,He has shrewdness and cheats everyone.,negative
Miizzati shee'ido wuygee ciqqattiis.,"The floor, on which the cows urinated,",negative
ciruwa%1. noun%► eyelash %● Ciroy ayfiya goommaara gayttiis.,Eyelashes are,positive
yeekkiya na'aa co''u oottaasu.,The mother quietened the crying baby by giving,positive
co''a%1. adjective%► silent %● A co''a asa.,She is a silent woman.,positive
combbayidi biddiyogee lo''enna.,It is no good to gabble on issues which are,negative
simmada conaasu.,"After giving milk for one year, the cow's milk production",negative
bidinttaa kaashaychcha.,"To ignite the fire, first take out the ash from the",positive
"likkiyappe aadhdhidi bukkido gishshaw, sohoy coodhdhettiis.",After it rained,negative
cooshshiis.,The stomach ache caused the girl to vomit.,negative
cora qoodaa%1. noun%► plural form %● Booraay cora qoodan boorata.,The plural,positive
yelettissidi corayiis.,The farmer bred the cows and multiplied their number.,positive
uneven %● Maatay corppoppiis.,The grass became overgrown.,negative
be many%● Molee abban corrattiis.,Fish are abundant in the lake.,positive
Hattay xoqqasaappe coorrattiis.,The water flowed freely from the higher place.,positive
oyqqoosona.,Little children seize coins firmly.,positive
pulttissees.,The salivary gland produces saliva.,negative
tigiyogee lo''o.,"Before using the spittoon, it is better to put water in it.",negative
pinniyogee I cugettanaadan oottiis.,Crossing the river caused him to walk,positive
"cun''iya%1. noun%► hip %● Bitanee kaysuwa cun""iya bolli qohuwa gattiis.",The,positive
cuqqunniya%1. noun%► wild thyme %● Cuqqunnee sawo maatatuppe issuwa.,Wild,positive
"maayettikko, curqqatees.","When clothes are overused, they turn to rags.",negative
cuudhdhida%1. adjective%► lousy %● cuudhdhida huuphiya,lousy hair (of lice),negative
maayiyo maayoy cuudhdhees.,"If clothes are worn without being washed, they get",negative
cuulettiis%1. intransitive verb%► choke %● I ashuwa miiddi cuulettiis.,He ate,negative
cuwaa%1. noun%► smoke; fume %● Cuway qiiba xoo'iyara kare kiyees.,Smoke goes,positive
cuwattiis.,She put the rag on the fire and it smoked.,negative
daabidaabaa%1. noun%► night blindness %● Iyyoo ayfee daabidaabaa doommiis.,She,positive
shankkan daabulaa woriis.,He killed two of the same animals while hunting.,negative
daabulida.,We doubled our profits last year.,positive
something to eat.%● Baquloy maataa koyidi daadiriis.,"Being in want of grass,",negative
magical power%● Kaayuwa yootiyageeti daadumatoosona.,Fortune tellers recited,positive
daafa%1. adjective%► dangerous%● Daafa oosuwappe Xoossi ashsho!,May God save,negative
"destroy, ruin, be out of use %● Kattay qeeri medossatun daafettiis.",The crops,positive
daafurssiya%1. adjective%► tiresome %● Hagee daafurssiya ooso.,This is a,positive
kawuwappe daagaa ekkiis.,"After winning the battle, the war leader received a",positive
tooranchchatussi daaggees.,"In olden times, a king often gave presents to",positive
daahaa geetettees.,Running away to marry someone without the consent of their,negative
asa gelanawu daahada baasu.,She eloped to be with another man.,positive
daakkiis.,The rat ripped her clothes.,negative
daakkiyyiyo%1. noun%► duck %● Daakkiyyiya waassawsu.,A duck quacks.,negative
qaaxxidi miizzaa qooriyan aattido daalaa giirissees.,The clapper moves back,positive
thousand) %● I miizzaa xeetan daaliis.,He ceremonially counted cows in,positive
daallamiis%1. intransitive verb%► be confused %● Tawu eray daallamiis.,I am,positive
"lo""o.",Reddish-brown is the good color for a horse.,positive
keehi daayidosona.,The tree grew and enlarged.,positive
dabbakkiis.,The pot is nearly full with water.,negative
tamaare naatussi imettiis.,The students are instructed to match synonyms.,negative
yeggiyosaappe ekkiday?,Who has taken the mail from the letter box?,negative
dadaa%1. noun%► thunder %● Aadday dadaw eeqees.,The 'Ada' clan worships,positive
Ooratta keexettida keettaa gattan daddaheettees.,A newly built hut is thatched,negative
dafi diggiis.,He jerked the small boy from in front of the speeding car.,negative
oyqettidosona.,The girl's abductors were caught as they were about to hide,negative
%● Parssuwa issi gosiyappe daggidosona.,The two people drank the local beer,positive
"wogaa yettaa yexxiiddi kattaa bul""ees.",Communal laborers were singing cultural,positive
"dalalla%1. adjective%► level, with an even surface %● dalalla sohuwa",leveled,positive
which does not flow %● Dalbbanttay goggenna.,A pond does not flow.,negative
dalbbotteetii?,Why don't you walk quickly? Why are you strolling?,negative
dalgga abbaa%1. noun%► ocean %● Paasifike Dalgga Abbaa,Pacific Ocean,positive
dalgga manttiya%1. noun%► region %● Afare Dalgga Manttiya,Afar Region,positive
damaamo geettees.,"We say, ""let the roof be beautiful.",positive
dozata miidi sohuwara diccees.,Caterpillars eat leaves and other parts of,positive
utissiigiis.,The boy was dazed and sat down.,negative
dan%1. adverb%► as %● A woraqatadan bootta.,She is as white as a paper.,negative
danccaasu.,The noble woman tied the cotton blanket around her waist.,positive
danccoy woxxishin birshshettiis.,The woman's belt released when she was,negative
Danddayanchcha asi sohuwara yiillotenna.,A patient person never gets upset,positive
gishshawu oosuwa polanawu danddayettibeenna.,Because the work was not started,negative
aadhdhanawu danddayissiis.,"By teaching him very well, he enabled him to pass",positive
danddayiya yettanchcha.,Her voice is lovely. She is a capable singer.,positive
gitatees.,Elephants are the largest land animals.,positive
maaddiya cora danggiriixeti de'oosona.,She has many maid servants to help her,positive
dankkiis.,He held a handful of grass.,positive
"especially, when mowing grass %● I naa''u dankke maataa buucciis.",He mowed two,positive
asata danoyiis.,Her gossip caused the two men to quarrel.,negative
koyees.,The ticky calf needed medical attention.,negative
danqqiis%1. intransitive verb%► be tick infested %● Miizziya danqqaasu.,The,positive
danttiyagaa geetettees.,A poet is a person who has the skill of writing poems.,positive
%● A danuwa oottaydda oyqettaasu.,She was caught red-handed,negative
guxuneta oyqqidi mees.,A swallow eats insects that it catches in flight.,positive
Darccaa shooqan yeggiyogee araddissees.,The farmland becomes fertile when you,positive
darccunttiis.,The hyena grabbed the dog.,negative
darkko kattaa%1. noun%► vegetable %● Santtay darkko katta.,Cabbage is a,negative
giyogaa.,The cloudy sky means the rain is coming.,positive
daxiis.,The stone pressed the boy's hand.,positive
dee'uzziis%1. intransitive verb%► belch %● Qumaa mi kallidi de'uzziis.,After,positive
"deegara%1. adjective%► spot, black spot on white %● Maahiya meray deegara.",A,positive
"deelliya (denggeliya) %1. noun%► puddle %● Deellee away awaxxikko, melees.",A,positive
deemaariis.,The crops are abundant.,positive
Deemoy ayfiyappe qommo baggaara de'ees.,The eyebrow is located above the eye.,positive
xammiis.,The kid fed from its mother's teat.,negative
deeshshiyo%1. noun%► nanny goat %● Deeshshiya waasawusu.,A nanny goat bleats.,negative
hemettishin xoqqa sohuwa miyyee dembbattiis.,The hillside became flat after,negative
dentterettiis.,He instigated the people in the neighborhood.,negative
ooshshawu denttettiis.,"Because he aroused the people in the surrounding area,",positive
look%● A A dereqaa tolaasu.,She gave him a blank stare.,negative
deretettaa asaa%1. noun%► society%● deretetta asaa go''enna polotikaa,politics,negative
deskkiya%1. noun%► desk%● A woraqataa deskkiya giddon wottaasu.,She kept the,positive
darido gishshaw ogee di'iis.,"Because of the heavy rain, the roads flooded.",negative
asay mehiya asasaappe di'idi ehees.,"In olden times, people used to plunder",negative
dibbaa%1. noun%► muscle%● Yelaga bitanee payyanne mino dibbaara de'ees.,The,positive
dicciya%1. adjective%► developing%● dicciya biittaa,developing country,positive
hariya zokkoy masunxxiis.,Because the donkey was loaded without a saddle,negative
gishshaasa.,I went to the dentist because my gums hurt.,negative
diddiqiis%1. transitive verb%► beat (heart)%● Iyyoo wozanay diddiqiis.,Her,positive
digettidaba.,Drinking alcohol in church is forbidden.,negative
diisiis%1. transitive verb%► work hard%● I oosuwa diisees.,He works hard.,positive
diittaa diixxiis.,He played a harp.,positive
diizzaa%1. noun%► trap%● Maahiya diizzan oyqqidi woriis.,He caught a leopard,positive
gooba.,He is good at unwinding thread.,positive
another (of small children)%● Qeeri naati deriyan dilccattoosona.,The children,positive
"unappealing, become not attractive%● Zoriya ekkennan ixxidi diljjaawiis.",By,positive
growing%● Tukkee ha laytti diljjis.,"This year, the coffee remained fruitless.",negative
dillimma%1. adjective%► foolish%● Hegee na'ay aybanne erenna. I dillimma.,The,positive
dillimmees.,"From time to time, the boy is foolish.",negative
dim''akkaasu.,The girl beat a drum.,positive
cooking roasting)%● Tukkee bashiyan gam''idi dim''i giis.,The coffee burned,negative
dimokiraase%1. adjective%► democratic%● dimokiraase dooruwa,democratic,positive
oyssaara bari na'aa ushshanaw dinddoyaasu.,Mother mixed together the melted,positive
dinnaaqiis%1. transitive verb%► disrupt%● I suure diya yaa'aa dinnaaqiis.,He,positive
oottidi gorddi wottiis.,He closed the door completely.,negative
sha'iya asaa shemppuwa dippi oottidi wurssiis.,The war ruined the lives of,negative
dipploomaa%1. noun%► diploma%● naa''u laytta dipploomaa,a two-year diploma,positive
ufayttees.,People enjoy watching dramas on the television.,positive
dirgginttaasu.,The cat grabbed the rat in the backyard.,negative
diridosona.,The workers built a fence.,negative
"dishkkuwa%1. noun%► hair, mane (of a lion)%● gaammuwa dishkkuwa",mane of a lion,positive
dishuwa%1. noun%► raising (children)%● naatu dishuwa,raising children,positive
meecca.,Wash the saucepan.,negative
"do'a%1. adjective%► cruel, fierce, ruthless%● Hagee ayba do'a asee!",What a,positive
gishshawu asay assi aawatettaa immenna.,"Because he is a forgetful person,",negative
dogiya (dogaa)%1. noun%► deer; reindeer%● I shankkatiiddi dogiya woriis.,He,positive
fixed%● A wodoruwa dol''ettada dooqqaasu.,She loosened the rope while,positive
"dola%1. adjective%► indigenous, naturally found%● dola woyshsha",indigenous,positive
dola%1. adverb%► never%● I dola haraqe uyenna.,He never drinks alcohol.,positive
"michchennanne irxxenna, giddo dombbolo""a.",That water is neither hot nor cold;,negative
heezzu gallassa gidiyagaa doodetti simmidi kushiya immiis.,The town was,positive
dooggiis.,The patient stammered.,negative
annaaciya doomissiyagaa,starter (somebody signaling the start of a race),positive
doonaara de'iya gaytotettaa tamaarissiyagaa.,Philology is the study of the,positive
seerettaasu.,The talkative girl was reprimanded by the teacher.,negative
dooriya,the heap of teff,negative
dooruwa shiishuwa%1. noun%► recruitment%● hara yaratu dooruwa shiishuwa,the,positive
doosona.,There are a large number of candidates for the election.,positive
saatiyara gakkidosona.,The voters arrived at the polling station on time.,positive
doossaa%1. noun%► twisting%● wodoruwa doossaa,the twisting of rope,positive
"bochchikko, ne bollaa mirggees.","If a nettle is touched, it burns your skin.",negative
aassa dooyuwa essa.,Stop opening the door wide.,negative
"dorssaa ashuwa%1. noun%► mutton%● dorssa ashodan mal""o",as sweet as mutton,positive
dorssi baawa; kare kiyennan aggokkonna.,There are no sheep in the shed; they,negative
naagees.,A shepherd takes care of many sheep.,positive
dosennan%1. adverb%► by force%● Asay giiraa dosennan qanxxees.,People pay tax,negative
na'ee! Laytta wode gakkinkka hemetaa ixxiis.,What a slow grower the son is! At,negative
heeran diya metuwa birshshidosona.,People in the surrounding area had a public,positive
"kifiliyan duchchisikko, tamaare naati dosokkona.",Students do not like it when,negative
"dugen%1. adverb%► down%● Ayyoo dugen, duussay lo''o.","Down there, life is good",positive
"dugettaa%1. noun%► downhill, slope%● Katamay dugettan keexettiis.",The town was,positive
puruwa dulakkiis.,The butcher sliced the meat into two big pieces.,negative
taayyoo dullee docciis.,"Because I sat for so long, my bottom aches.",negative
dulluwa%1. noun%► anthrax%● Dulloy miizza hargge.,Anthrax is a cattle disease.,negative
"imattaa dosawusu, shin ha''i iyyoo eqoy dummatiis.","She used to like guests,",positive
"time, sample%● Eti koyro gakkida badalaa duraaduridosona.",They sampled the,positive
dureyiis%1. transitive verb%► enrich%● Ba ishaa maaddidi dureyiis.,He helped,positive
yelettoosappekka duude.,He was dumb from birth.,negative
buried%● Duufuwa bolli ciishshay de'ees.,There were flowers on the grave.,positive
deree shiiqi oyqqidi duxxiis.,The men caught the madman and restrained him.,negative
someone %● Intteyyoo taani kormaa edatana.,I owe you a bull as restitution.,negative
tawu eennay ekkibeenna.,I do not have a strong interest today to do the work.,negative
biyogee digettidabaa.,It is prohibited to enter the temple of an idol,negative
xalahiyawu eeqenna.,A believer in God doesn't worship idols.,negative
eesotiya makiinaa,a fast car,positive
eesoyiya%1. noun%► urgent %● eesoyiya dabiddaabiya,urgent letter,positive
"Eeyyaynne gooyiyay tumaa haasayees,"" yaagees.","People usually say,""The foolish",negative
Gezziyan mokkiya badalay gakkanawu eezzees.,"Maize, grown in the high land",positive
zaariya tikkeetiya qanxxaas.,I got a round-trip ticket to go to and come back,negative
ekkidi efiis.,The police took away the man who committed the crime.,negative
miishshay keehippe al''iis.,Transportation fare to Addis Ababa became so,negative
ekka ekka giya%1. adjective%► tempting%● ekka ekka giya gatiya (waagaa),a,positive
hiitta maayuwa ekki xayiis.,The small child absconded from the house with a,positive
oonee?,Who is the recipient of the books I brought?,negative
polidosona.,Balango and Bazite were married.,positive
laggeta ufayssanawu elettiis.,The boy clowned around to amuse his friends.,positive
elle%1. adverb%► quickly %● Neeni gam''ennan elle ya.,Come quickly without,negative
uttiis.,The snake curled up when I saw it near the stone.,negative
"enccuriis%1. transitive verb%► coil, curl up %● I bullukkuwa enccuriis.",He,positive
dees.,The little child is inside the curled cotton blanket.,negative
wurssibeenna.,The boy didn't finish his chores because he was careless.,negative
"untidy%● Enkkesheeshoppa, oosuwa oottaydda naagetta.","Don't be reckless, but be",positive
eqaa%1. noun%► abdominal sickness %● Uluwan iyyoo eqa sahoy doommiis.,She,positive
garadiyageeti ayso keettaa zabbaappe kare baggaara shiiqettidosona.,The,positive
garadaa,anti government policy demonstration,negative
equwa%1. noun%► stance %● Hiyyeesatu bolli diya equwassi I borettiis.,He was,positive
imattatuura eretissidoogee taawaa ishaa na'aa.,The person whom you introduced,positive
kuushsha yohoy erettenna.,His speech before parliament had an unclear main,negative
dabiddaabbee xaafettidi postta keettaara kiitettees.,Letters of greetings are,positive
wottanchchati nu biittan erettidosona.,Many long-distance runners have become,positive
esuwa%1. noun%► establishment; stand %● ooratta citaa esuwa,the establishment,positive
"naata eray? Ee, eti nu heeran de'oosona.","Do you know those students? Yes, they",positive
exatana.,"If you raise the issue in the meeting, she will support you.",positive
gishshawu ezggiyageetussi siyanawu daro wayssees.,His talk is so long and,negative
ezgganaassi ezggiyo miishshaa (istteeteskkoppiya) go'ettettees.,A stethoscope,negative
ufayssees.,Listening to Christian music makes me happy.,positive
wayssennan gaacettiya quma gidenna.,Fat meat is not an easily digestible food,negative
gaashiya gaaccanawu maaddees.,"In olden days, a grinding stone was used to",negative
gaadiya%1. noun%► hobble%● gaadiya wodoruwa,the hobble rope,negative
gaaleeniya%1. noun%► demon; evil%● Gaaleenee iita ayyaana.,A demon is a bad,negative
"wodiyassi haattaa uyennan gam""anawu danddayees.",Camels are able to live,positive
gaammuwa%1. noun%► lion%● Gaammoy maataa meenna.,A lion does not feed on,positive
gaannatees yaagees.,The Holy Bible says Jesus intercedes for man's sin.,negative
"qesee gaaretiisinne gedeekka me""iis.","When she fell into the river, her arm was",negative
caanidi ehiis.,He brought the grain from the market in a cart.,negative
burqqido paray gaaxaata giddon de'ees.,The horse which has a sprained leg is,negative
Gaayiya sarbboppite.,Don't smoke the local ethnic pipe.,negative
koshshenna.,A journalist should not hide the truth.,negative
%● Gabbaaray layttan layttan malkkaynnaassi giiranawu oyshettees.,Taxpayers,positive
"gaciniyo%1. noun%► new mother, new mom%● Taani gaciniyo anjjaas.",I,positive
gacino na'iyo%1. noun%► newborn%● A gacino na'iyo dottoriyakko efaasu.,She,positive
koshshees.,We should protect the pullets so that the Golden Eagles will not,negative
sohuwa.,A monastery is a place where a group of monks live together.,positive
gidiyagaa taassi yootaasu.,The woman was on the phone for half an hour telling,negative
gade%1. adjective%► neighboring%● Ta ishay taayyoo gade heeran de'ees.,My,positive
"gafata kumetta haattaa uyidikka, ba saamuwa alibeenna.",Although the donkey,negative
gagagattees.,"When a horse gallops, the ground vibrates.",positive
when working%● Na'iya oosuwa gagisawus.,She works forcefully.,positive
time or space%● nuuni wurssana gakkanaassi,until we finish,positive
kaa'ishin gakki aggiis.,He arrived while we were playing ball.,positive
gal''a maayuwa,old clothes,negative
"gal""iis%1. intransitive verb%► get old, grow old%● Keettay gal''iis.",The house,positive
galatanaassi koyays.,I would like to express my thanks to you for all you have,positive
galcce%1. adjective%► stale%● Hagee boynay galcce.,This yam has gone stale.,negative
galccetees.,The sweet potato is rotten.,negative
galchchaa bolli yilluwan haasayiis.,The chairman talked to the audience,positive
"gam""uwa%1. noun%► stay%● naa''u gallassa gam''uwa",two-day stay,positive
gamma gakkiis%1. intransitive verb%► grown fully%● Na'ay gamma gakkiis.,The,positive
"donkeys, horses, etc.%● Paraa morggiyan diya ikisee gammaa geetettees.",A mane,positive
gammaama mehiya%1. noun%► pack animal%● Paray gammaama mehe.,A horse is a pack,positive
gammaama%1. adjective%► furry%● gammaama mehiya,a furry animal,positive
ganddigaarettaa doommiis.,"After drinking mead, the man started staggering.",negative
ganddigaarishin kaamee dirxxiiss.,The car ran into the drunk man while he,negative
swallow%● Sahettiya na'iyo maattaa ganttiis.,He let the sick girl sip the,negative
ganxxaasu.,She sipped the milk little by little.,negative
"garaa%1. noun%► lowland, hot area%● Abbali gara.",Abala is a lowland area.,positive
attoogee tana garanttees (garamissees).,I am surprised at her decision to,positive
uyawusu.,The kitten drinks milk.,negative
Ashoy garccigarccees.,The meat is gristly.,negative
kessaychchaasu/qaaraychchaas u.,She stripped down to her underwear,negative
fatigue; agony; sufferance%● Bitaniyawu gashee deexo.,The man is in serious,positive
gato%1. adjective%► paired (of oxen)%● gato boorata,paired oxen,positive
bonchchissees.,Honesty enables us to be respected.,positive
gawudaa%1. noun%► glutton%● Keehi qumaa miya ura asay gawuda gees.,A glutton,negative
body of pack animals%● Ankkoy gawxaa mees.,Vultures feed on carrion.,negative
"gawwattiis%1. intransitive verb%► fly hummingly, buzz%● Mattay gawwattiis.",The,positive
gawwiina paalliya do'ata,humming insects,positive
diyosaa gakkanawu gayyiya go'etta.,Use the ladder to reach the orange on the,negative
"gazzaa%1. noun%► mottle, a patch of color%● Miizzee bollan gazzay dees.",There,positive
ugly%● Na'ay gececciis.,The boy became ugly.,negative
geeddoosona.,Guerrillas usually spy on people.,negative
tammanne ichchashu layttaa pirddettidi qashettiis.,He deflowered her and was,negative
geela'otettaa%1. noun%► virginity%● A ba geela'otettaa xayaasu.,She lost her,negative
geellattiis.,The plank became bent.,negative
keehi dummataasu.,She is so different since she married him.,positive
azinaa gelabeenna yelaga na'iyo.,A bachelorette is a young unmarried woman.,positive
hanno gakkanaashin na'a yelabeykku.,"Although she is a married woman, she has",positive
geliyabaa%1. noun%► ingredient%● Qimaamee daro qommo quman geliyabaa.,Spice is,positive
"A keehi sakkishinkka, gencceeciis.","Even though he had a serious illness, he",positive
qanxxennan genccidi aattiis.,The man endured the years of hardship without,positive
gene%1. adjective%► harmful; adversarial; opposing%● gene qofaa,harmful,negative
%● I etaara dabbotan daanawu geppiis.,He vowed friendship with them.,positive
yootiis.,He told of the brave quality of his family in the song of victory.,positive
gerggeedaa sahuwa,the illness of rheumatism,negative
gerzzumida%1. adjective%► calloused%● gerzzumida kushiya,the calloused hand,negative
gezziyan mokkees.,Barley is grown in the highlands.,positive
gidduwan%1. preposition%► between%● Haa yaada nu giidon utta.,Come and sit,positive
giddoppa. Ta mulekka sarbbikke.,Don't force me to smoke a cigarette. I shall,positive
giddo abbáá%1. noun%► sea%● Giddo abbán maxinee de'ees.,The sea is salty.,negative
kase gaxan diya keettay giddotiis.,The suburb has become the center of the,positive
giyogee issibay koshshiyogaappe guuxxiyogaa.,Unsatisfactory means something is,negative
zal''iyappe woriya demmibookkona.,Neither he nor his wife had profited from,negative
gidiya%1. adjective%► enough%● Ta gidiya miishshaa immaasi.,I gave her enough,positive
gidiya%1. adjective%► enough%● Ta gidiya miishshaa immaasi.,I gave her enough,positive
"qaaday guutta. Gidoppe attin, nuuni ane mali be'oos.",There is little chance,negative
shankkaa.,"'Gifata' means in the olden days, when people lived without war for",positive
"neeni miishshaa giicada qanxxana xayikko, timirttiya doomissanawu eenenna.",If,positive
giidobaa poliya%1. noun%► serious%● giidobaa poliyagaa,a serious person,positive
kalssiya wottiis.,He wore mismatched socks.,negative
giigiya%1. adjective%► fit; elegant%● keehi giigiya maayuwa,the elegant,positive
giirettaa%1. noun%► taxation%● Giirayyoo cora wogay dees.,There are many laws,positive
gakkanawukka giirettanawu bessees.,This year's tax still needs to be paid.,negative
giirees.,People pay tax from their income.,negative
oyttiis.,The wound festered.,negative
sharqqiya bolli wodhdhida merkkuwa giishshiis.,The boy squeezed the boil on,negative
kushiyan aattidi masunttaa qachchiis.,"Wearing the glove, the doctor dressed",positive
product)%● I ginddettaa maattaara miis.,He ate bread with milk.,negative
oottiis.,Spurring the horse made it run fast.,positive
substance)%● A sarettaa uukkanawu naa''u qommo xiilliya issippe ginddaasu.,She,positive
demmiyo guutta damoozay A eraara ginenna.,The low salary he earns is not,negative
giraaca%1. adjective%► gray (mule color)%● giraaca baquliyo,a gray-colored,negative
giraasuwa%1. noun%► grease %● A kushee zayttenne giraaso kanchche,His hands,positive
giya baana.,I shall not go to school; I shall goto the market instead.,negative
ba.,I will represent you; go home.,positive
keettay gisiis.,An unskilled carpenter built an ill-proportioned house.,negative
gisttiya%1. noun%► wheat%● Gisttiyappe daabboy uukettees.,Bread is made from,positive
it or prevent it from escaping%● Kafuwa gitiyan oyqqiis.,He caught the bird,positive
gitiyan oyqqiis%1. transitive verb%► trap%● A do'aa gitiyan oyqqaasu.,She,positive
olettanawu gixxa denddaasu.,Our country is ready to fight against poverty.,positive
glaaviya kushiyan aattoosona.,Doctors put gloves on their hands when treating,negative
kiyiya lefa awaa.,Twilight is the faint sunlight which appears as the sun,positive
godare uuttaa%1. noun%► aloe%● Godare uuttaadan cammees.,It is as bitter as,negative
