"English","Wolaytta"
"What are they doing?","you be back?%3. pronoun%► what%● Eyi ay oottiyonaa?"
"How much is a kilo of butter?","much %● Issi kilo oyssay ay ekkii?"
"My key was lost.%(syn) [xayiis, tim''i giis, kolli bo''an","bayiis."
"His clothes were dirtied","be deformed%● Saaminttappe guyiyan A maayoy bayiis."
"Those children are spoiled.%(syn)","praise, etc.%● Hegeeti naati bayidosona."
"Man has lived on earth for thousands of years.%","daro sha'u layttataa de''iis."
"Many African countries got their independence in the 1960s.%","demmidoy 1960na."
"Wolaita is found in the South Nations Nationalities and","(TTDMB) giddon de'ees."
"The husband and wife have agreed to get","machchiyanne birshshettawu aqidosona."
"the precise","definition; description%● issi qaalaassi qantta birshshetta"
"The two thieves jumped over the fence to escape","bollaara piridi baqatidosona."
"The dog","when the police came after them.%► at%● Kanay kayssuwa bolli bocciis."
"Don't put","barked at the thief.%► on%● Xaraphpheezaa bolli maxaafaa wottoppa."
"The birds are","the book on the table.%► in%● Kafoti mittaa bolli yexxoosona."
"The small bell hung from","bell (that rings) %● Paraa qooriyan daalay kaqettiis."
"When the head count becomes hundred, the owner performs","mehiya goday daalees."
"When the ceremonial count of hundred cows takes place, a small bell","koshshees."
"He had just arrived at school when the bell rang.","tamaaresoo gakkiis."
"The bell rings at six pm.","Dawwalee tammanne-naa""u saatiyan dawwalettees."
"Please ring me as soon as he comes.","Hayyanaa I yaanekka taassi dawwalaaga."
"Call me if you have anything to report.","Neessi odiyobi de'ikko taassi dawwala."
"Be quick! The school bell is","%● Eesotta! Tamaareson dawwalee dawalettees."
"He is prohibited by law from driving without a license.","digettiis."
"a law which prohibits the sale of alcohol%","alkkooliya bayzuwa diggiya wogaa"
"He removed his hand from my shoulder.","hashiyappe diggiis."
"Which","dosiis%1. transitive verb%► like%● Ne keehi dosiyo qamisiya awunnii?"
"I like her very much.","dress do you like best?%● Ta O keehippe dosays."
"Everybody loves his\her country.%(syn) [siiqiis.]","dosees."
"I prefer tea to coffee.","tukkiyappe shayiya dosays."
"She is grinding the grain with a millstone.%(syn) [leefiis,","dawusu."
"Fats are not easily digested by our body.","gaacettokkona."
"You","simmada, bolla giddon gaacettanaadan guutta wodiya takkanaw bessees."
"The hungry","gobble; scarf; devour; gorge%● Namisettida booray maataa gaacciis."
"He stayed until the train came.","yaana gakkanaashin gam''iis."
"Live long!","He was delayed.%● Neeni shemppo gam''a!"
"Our father was delayed at","The rain lingered.%● Nu so aaway beeruwan gam''iis."
"You must visit your family when you are going on this trip.","soo asaa oychcha."
"My father fell ill; he cannot take","%● Ta aaway sahettees; hemetaa danddayenna."
"He began the tour two months ago.","naa""u aginappe kase."
"Please, change your behavior.","ne hemetaa giigissa."
"He loves me, so he will give me what I want.","koyiyobaa immees."
"A judge should render equal justice to","ubbawu likke pirddaa immanawu bessees."
"He","all.%● I taani kuwaasiya anaaciya gelada be''anaassi tiikeetiya immiis."
"How much money","allot%● Ha laytta baajeetiyaw intteyiyo woysu biray immettidee?"
"Cold milk tastes","irxxa%1. adjective%► cold; cool%● Irxxa maattay mal""ees."
"The evening breeze brought cold","good.%● Omarssa meegoy irxxa carkkuwa ehiis."
"A shy person does not easily get along with strangers.%(syn)","meezetenna."
"I used to play soccer when I was a boy.","kaa'aas."
"People often joke","scorn; jeer%● Asay tukkiya uyiiddi darotoo kaa'ees/naacees."
"The head of","become mean%● Ooso keettaa gadaaway oosanchchatu bolli kaa'iis."
"After she","kariya%1. noun%► doorstep; gate%► door%● A kariya gorddada uttaasu."
"Close the door and","had closed the door, she sat down.%● Kariya gorddada zin""a."
"Excuse me, may I","sleep.%► outside%● Hayyanintta, asttamaariyanttoo, kare kiyo?"
"a wide doorstep","go outside, teacher?%► outdoor, open air%● aaho kariya"
"This load is so light; even a little child can","na'ikka tookkanawu danddayees."
"A disrespectful person doesn't respect others.","bonchchenna."
"I don't like his manner of","siyanawu koyikke; ayssi giikko I kawshsha asa."
"The thief disrupted the maize when he ran through the field.","koliis."
"He","demolish, pull down%● I bari waaxido wombbaraa kolidi naa""anttoo waaxiis."
"People are tearing down the old hut.","keettaa asay kolees."
"She abrogated her promise to","ba lagge na'aa gelanawu caaqqido caaquwa kolaasu."
"We scattered teff on the farmland.","laalida."
"The house is untidy; the books and","maxaafaynne woraqatay yan han laalettiis."
"The farmer is scattering the seeds on the farmland.%(syn) [piskki","laalees."
"The teacher","people%● Asttamaare tamaaree naatussi maxaafaa gishiis."
"A year is 365 days.","layttaa%1. noun%► year%● Layttay 365 gallassa."
"The old man","bitanee ha heeran usppun tammu layttappe aadhdhiya wodiya de'iis."
"I started school at the age of nine.%","uddufunan de'ishin timirttiya doommaas."
"The","aawantti woykko wogga aayentti bantta naatu naata leelleesidosna."
"The woman decorated","embellish%● Maccaasiya keetta giddo buquraa leelleesaasu."
"Don't pretend to be my","equivocate%● Taayyoo lagge malatada tana leelleesoppa."
"A reliable person keeps his promise.%(syn) [qashuwa, kuushshaa.]","naagees."
"We","Nu ha oosuwa maachchaa gelidoogaa maaran issi layttan polanawu bessees."
"All of us seek the counsel of our relatives","laggetuppe zoriya ekkanaw koyoos."
"This data was collected from","macaray cora woradatuppe/allaanatuppe shiiqqiis."
"primary data","several districts.%● koyro macaraa"
"We gave","about something or somebody%● Nuuni xaaciyassi macaraa immida."
"The dog is chewing the bone.","meqettaa%1. noun%► bone%● Kanay meqettaa xoggees."
"Many","%● Daro meheti koshan hayqidosona; be'a, eta meqettay ubbasan de'ees."
"People struggle for social","social status (inherited)%● Asay meqettaw baadees."
"His behavior is bad.","behavior%● I meqettaa iita asa."
"When you","yedhdhada naaqqikko, kaamee loddu geesinne wurssettan eqqiigees."
"The woman put","cram; jam; pack; stuff%● Mishiriya maayuwa baattan naaqqaasu."
"He tucked","the clothes into the clay vat.%● I maayuwa ubbaa joyniyan naaqqiis."
"The children mistreat their","(with words)%● Naati balakkiyo keehi naaqqoosona."
"Don't waste your time doing","Pattennabaa oottaydda ne wodiya coo wurssoppa."
"A petty person nitpicks people and situations.%(syn) [haatta","haasayees."
"Don't tell me about such a minor thing.","odoppa."
"incurable diseases","qommota"
"Don't waste your time doing","Pattennabaa oottaydda ne wodiya coo wurssoppa."
"A petty person nitpicks people and situations.%(syn) [haatta","haasayees."
"Don't tell me about such a minor thing.","odoppa."
"incurable diseases","qommota"
"In Ethiopia, people are accustomed to eating raw","ashuwa meettaa meezetiis."
"Peeling a raw yam can burn","piitiyogee shugo kushiya poogissanawu danddayees."
"raw sweet potato","an inexperienced person's hand.%● qayye shukkaariya"
"The students asked the teacher","tamaarissidoogaa qonccissanaadan oychchidosona."
"An adjective modifies nouns and pronouns.","qonccissees."
"The journalist exposed the secret.","oosanchchay xuuraa qonccissiis."
"The place where a wasp bit smarts.","seellees."
"His temple ached when it was slapped.%","%● Qinxxallee baqqido wode seelliis."
"The griddle got hot.%(syn)","(syn) [loshshu giis.]%► be hot%● Bashee seelliis."
"I gathered some flowers from the garden.","shiishshaas."
"He is trying to accumulate","gidiya miishshaa shiishshanawu woxerettiddi dees."
"He saved enough money to build a","keexxanawu gidiya miishshaa shiishshiis."
"The father beat the boy with a stick.","shociis."
"He hammered the nail that came loose from the","misimaariya minttidi shociis."
"The bandits beat him when","chair.%● I guuridi biishin A panggati shocidosona."
"The","he was walking in the morning.%● Maccaasiya buhettida irppaniya shocaasu."
"The dentist","take out%● Achchaa aakimee taassi harggida achchaa shoddiis."
"The farmers are weeding the teff.","shoddidosona."
"The thief drew out a knife to frighten us.","mashshaa shoddiis/kessiis."
"She pulled out grey hair.%(syn) [kessiis, xoqolliis.]","puulunttaa shoddaasu."
"Nothing would prevent me from speaking","haasayanaagaa tana aybinne teqqenna."
"Tuberculosis hinders her breathing.","teqqees."
"How are you able to resist sleeping?","danddayay?"
"Because he didn't","wurssibeennaagaappe denddidaagan, gida duussaappe teqettiis."
"If the pot is covered, the cooking process will soon be","sohuwara ka''ees."
"I am suffocating,","smother%● Hombbee tana tucciis, hayyanaa maskkootiya dooya."
"My","please open the window.%● Ta lo""iya gawariya ho""iya keettan tucettaasu."
"The murderer smothered his victim.","tuccidi woriis."
"Farmers should not have to buy food.%(syn) [woziis.]","bessokkonna."
"A","beseech%● Azalla goshshanchchay bone oottennan shaaccidi balggo woommees."
"Bees collect nectar from flowers.","eessaassi haniyabata ciishshaappe woommees."
"The doctor prescribed medicine for the patient.","xaliya azaziis."
"Healer is a name of God.","sunttay xale."
"According to the Holy Bible,","yootiyogaadan, Yesuusayyoo hara sunttay xaliya."
"You","Savior is another name for Jesus.%► poison%● Ha xaliya uyikko, hayqqaasa."
"The","destroy%● Qeera na'ay, ba biiriya xayssidaagee, camo yeehuwa yeekkiis."
"Have you found the key that you mislaid yesterday?%(syn)","qulppiya demmadii?"
"He often spends money at the cinema.","darotoo silimaa be''iyogan xayssees."
"She spent all her inheritance in a","ba laataa ubbaa issi layttan xayssaasu."
"Pursuing the thief was important to the villagers.%(syn)","koshshiyabaa."
"If a student disregards the advice of the school, he","yedetaa koshshees."
"The","deserves dismissal.%● Bonqqanchchay tammu laytta muumiya yedetan takkiis."
"Many people faced persecution due to their religious","gaasuwan yedetay gakkiis."
"The farmer put the maize into the granary.%(syn) [qoliis.]","yeggiis."
"He cast the net into the lake.","cast%● I marabiya abban yeggiis."
"If we","Posttaa giddon biraa yeggidi yeddikko ogiyan xayiichchanaw danddayees."
"How many","How much does a kilo of maize cost?%● Yaa'aa kaallida asay aappunee?"
"If you need money, I can give you some. How much","danddayays. Aappunaa koyay?"
"What time is it?","do you need?%2. adjective%► what; how%● Saatee aappunee?"
"How old are you?","Niyo layttay aappunee?"
"How many","How much does a kilo of maize cost?%● Yaa'aa kaallida asay aappunee?"
"If you need money, I can give you some. How much","danddayays. Aappunaa koyay?"
"What time is it?","do you need?%2. adjective%► what; how%● Saatee aappunee?"
"How old are you?","Niyo layttay aappunee?"
"The smallest son started lagging behind from the very","guye atettaa doommiis."
"Continual lateness to school will result in poor grades.","ayfiyan gattees."
"Her pregnancy made her","pregnancy%● I shahaaray O un''ettanaadan oottiis."
"The newly purchased cock was used to remaining outside","atettaa meezettiis."
"The student's absence from school put him in trouble.","yeggiis."
"Father slapped the boy angrily.%(syn)","clout%● Aaway na'aa yiillotidi baqqiis."
"She patted","[tiwuhu oottiis, solakkiis, tiliis .]%► pat%● A oyttaa baqqaasu."
"All the students clapped their hands for the student who stood","baqqidosona."
"The devil spirit","first in the class.%► cast a spell%● Na'iyo xalahee baqqiis."
"Land, which has not had enough rain, turns barren.","boodila."
"A desert is a place where no trees or grass","mitttay woykko maatay mokkenna."
"His","grow.%2 . adjective%► ashen; pale%● A booddila bollay tiyiyooobaa koyees."
"The misfortunate boy died at an early age","Boodila na'ay yelagatettan hayqqiis."
"The rope, by which the heifer was tied, easily","wodoroy sohuwaara duuxxiis."
"Because the girl got married without the consent of her parents,","duuxxidosona."
"Because of his dishonorable behavior, he is","ba keettaayeeppe duuxxiis."
"I will play with my friends if mother allows","ta laggetuura kaa'anawu baana."
"He has been licensed to open the","me. %● I suyqiya dooyanaassi anttettiis."
"I let him do whatever he wants. %","shop. %● Ta I koyidobaa oottanaassi eenays."
"She did not agree to begin the work.","eenabeykku."
"The wise boy accepted my idea.","eeniis."
"One's behavior is more important","uraa eeshshay A/I meraappe aadhdhidi go''ees."
"Character is","than his/her appearance. %● Eeshshay asa nawu garssa oonatettaa."
"Her","the entire personality of a person. %● I eeshshay tana yiilloyees."
"A day","gallassaa%1. noun%► day%● Issi gallassan laatamanne-oyddu saatee de'ees."
"A week is a period of","is twenty-four hours.%● Laappun gallassay saamintta."
"A hyena","the middle of the day%● Godaree gallassi hemettanaw danddayenna."
"The urban dwellers are having a meeting at","ooratta gadaawa doorana hanoosona."
"The date is 23rd of June.","23ntta."
"He was such a callous man that he","kaalo ishaa addinaa shemppuwa woriis."
"Some violent women beat their husbands.","wadhdhees."
"The violent offender never","gatto qohuwawu aybanne azzano som""o bessenna."
"How could you keep this savage dog as a pet?%(syn) [iita,","waatada haaray?"
"The bright girl does good work","na'iya oosuwawu hanttaara."
"I am looking for my","search for%● Taani ta ishay xayidaagaa koyaydda days."
"I","brother who has been missing. %● Taani gallassa muliya ha maxaafaa koyaas."
"Go out of my sight! I don't want to see you here.","koyikke."
"The bank manager","gadaaway gujo miishshaabaa xaafee qonccissana mala koyiis."
"If you want, she will come your home.","soo yawusu."
"Sit in a row.","maaraa%1. noun%► order; row; line%● Maaraa naagada utta."
"Plant the trees in rows.%(syn) [ziiriya.]","Mittaa maaraara tokka."
"Naughty students need","%● Shori baynna tamaaree naati maaraa yeddidosona."
"system of government%(syn)","discipline.%► system%● kawotettaa maaraa mankkaa"
"Where is the mug to measure the","container)%● Katta makkanaassi potee anee?"
"People","grain?%► reconcile; harmonize%● Asay palamaappe simmin, makkidosona."
"Malaria might have killed the man.","shekkeeree makkiichchennan aggenna."
"He studied after he","finish; prepare%● I bari oosuwa wurssi makkidi xanna'iis."
"Before you go to bed, you must wash","ne tohuwa saamunan meccettanawu koshshees."
"I washed","your feet with soap.%● Kattaa maanappe kasettada kushiya meecettaas."
"Please mop the","my hands before I ate food.%● Hayyanaa keetta wurssa meecca."
"He believed and was baptized.","meecettiis."
"He works a lot, but he is not bored by it.","salettenna."
"What are you doing these days?","oottuutee? Ee, aybanne ta ha""i oottiyobi baawa."
"Make sentences using the following words.","qaalatun qofa qashuwa oottite."
"He cultivated the land very well, but due to the scarcity","kattay ayfibeenna."
"He committed murder.","oottiis."
"Man is the wisest animal on the earth.","cincca."
"Earth is the third planet in which we live.","pilaaneetee biittaa."
"The children sat on the ground.","uttidosona."
"Life is","living situation%● Issoy issuwara olettiyo wode sa'aa duussay metees."
"She is going to stay in the","aaway simmana gakkanaashin son takkanawu dawusu."
"When did","house until her father returns.%● A biidosaappe awude soo simmadee?"
"Let's","she return from the trip?%● Ane ne tamaaresooppe simmiyode issippe boos."
"The soldier retreated from the battle after he lost the gun.%","guye simmiis."
"I repeated the question, but she didn't answer it.","simmibeenna."
"The guest is","uttiis%1. intransitive verb%► sit%● Imattay shidhdhan uttiis."
"The breast","a breast of a young girl)%● Gela'o na'ees tiran xanttay uttiis."
"The sand mixed with water is settled to the bottom of","otuwa duliyan uttiis."
"The government","the pot.%● Wodday qohido asaa kawotay harasaa shiridi utissiis."
"Look,","xeelliis%1. transitive verb%► look; watch%● Xeella, naati warettoosona."
"They are looking","the children are fighting.%● Eti issoy issuwa xeelloosona."
"Let me refer to the dictionary to find out the meaning","birshshettaa xeellays."
"Mother looks after her children.","xeellawusu."
"The boy cried when somebody hit him.","%● Issi asi dechchin na'ay yeekkiis."
"My daughter's sickness makes me cry.","na'ee sahoy tana yeessees."
"She caused someone to mourn.","mourn%● Yeehuwa yeessaasu."
"Before my mother let the cow go out for grazing, she milked it.","yeessaasu."
"She could easily give birth to a child","gishshawu maarettay wayssennan yelaasu."
"Because","%► hire (a lawyer)%● Deexo mootoy oykkido gishshawu, afkaatuwa yeliis."
"Money begets money.","yelees."
"The tree sprouted another new seedling.","aacay hara maraa yeliis."
"She had a headache, so she reclined on her bed.%","gishshawu, hiittan zin''aasu."
"The woman slept the whole night.%(syn) [ichchiis, xiskkiis, ayfiya","zin''aasu."
"They had intercourse after they married.%(syn)","simmidi issippe zin''idosona."
"We watched the football game on TV.%(syn)","toho kuwaasiya tiiviyan be'ida."
"Look! He has stolen the money from the box.","saaxiniyappe wuuqqichchiis."
"You must check that you have written your name on your","xellanaw koshshees."
"She got experience working at","tamaare keettan oottiyogan darobaa be'aasu."
"We watched the football game on TV.%(syn)","toho kuwaasiya tiiviyan be'ida."
"Look! He has stolen the money from the box.","saaxiniyappe wuuqqichchiis."
"You must check that you have written your name on your","xellanaw koshshees."
"She got experience working at","tamaare keettan oottiyogan darobaa be'aasu."
"His wife has sympathy for others.","keettaayeessi asatettay de'ees."
"The story was used to","Yesuusa asatettaa minttidi qonccissanaw maaddees."
"A man","emphasize the humanity of Jesus.%● Asatetti diyo asi asaw qarettees."
"In early","manhood%● I beni wode ba yelagatetta layttan mittaa xeeraa kiyiis."
"He did his job quickly.","activity) quickly%● I ba oosuwa boggiis."
"Do your tasks in ahurry, please.%(syn)","ne oosuwa boggada oottaychcha."
"The gangsters robbed the people and took their","boggidi miishshaa ekkoosona."
"The vandals died when they were trying to loot the","haniiddi hayqqidosona."
"There is a great deal of piercings on the body of the robber.","cachchay de'ees."
"I promised to","at a wedding %● Ta A na'aa bullachchaw afalaa cachchaa ekkaas."
"His arms were covered with","tattoo on the neck %● Assi qesee cachcha xalaala."
"Gangsters choked the merchants in the dark.","oyqqidi cuullidosona."
"The guard throttled the thief with","Zabaynnay kaysuwa mela kushiyan cuulliis."
"The little","his bare hands. %● Qeeri na'iya kattan cuullettada hayqqaasu."
"If I find the thief red handed, I will","ta A aayyiyo ta kushiyan cuullana."
"The cruel husband strangled his wife with a","keettayiyo wodoruwan cuulliis."
"The man strangled her with her own","rope. %● Bitanee O I sharbbiyan cuullis."
"Cold wind brings","ehiis%1. transitive verb%► bring %● Irxxa carkkoy iraa ehees."
"Come to me and bring your book.","rain. %● Taakko yaydda ne maxaafaa ekka ya."
"Please bring me a kilo of","Hayyanaa taassi kilo maxiniya suyqiyappe eharkkii."
"He scored an 'A' in English.","%● I Ingglizettuwan 'A' ehiis."
"Open the window to let in some light.","poo'uwa gelissanawu masttootiya dooya."
"He inserted his hands into his pocket.","I kiisiyan kushiya gelissiis."
"She inserted the missing letters","paccida pitaleta qaalan gujjada gelissaasu."
"He","change; beautify; decorate%● I suyqiyan zal''e miishshata giigissiis."
"We are trying to prepare a list of suitable people for the job.","oyqqana hanos."
"Yohannes and Isayas","%● Yaanisinne Isaasi ha qaala kochchaa giigissidosona."
"A literate person can quickly compile books.","aggees."
"He agreed to marry this year.","I ha laytti machchiyo giigissiis."
"If you don't speak","loddaara haasayennan ixxikko, tawu neeni giyogee gelenna."
"I don't know why she does not talk to me.","erettennan ixxiis."
"Do you speak Wolaita?","haasayay?"
"We discussed the building","halchchuwa oosuwa doommanaappe kasetidi haasayida."
"I hate it when people cry.","yeekkiyogaa ixxays."
"She refused to walk in the dark.","ixxaasu."
"The rebellious man rejected the job he was employed to do.%","ootennan ixxiis."
"I am","(syn) [makkaliis, xibiis, miiqiis]%► be unable%● Taassi oosoy ixxiis."
"The lunch","ka''iis%1. intransitive verb%► be cooked %● Qumay lo''idi ka''iis."
"The maize ripened.","Badalay ka''iis."
"He was soaked with","saturated %● I iray bukkishin hemettidi haattan ka""iis."
"The milk spoiled; I","coagulate (of milk) %● Maattay ka''iis; taani uyikke."
"They like the idea of living so","issuwakko keehi matattidi de'iyogaa dosoosona."
"Who is","close to so many people in the condominium.%● Issi mata lagge oonee?"
"Although we","taassi mata lagge giddikkonne I hachchi ta bolli balabaa oottiis."
"Recent happenings have upset him.","A yiilloyidosona."
"They talked about their recent visit to Addis","buussaabaa haassayidosona."
"He has a lot of experience in","situations%● Awu zal''iyan daro meezee de'ees."
"good habits","trading.%► habit; tradition%● lo""o meeziya"
"Smoking local pipe is a bad habit.","habits Gaayiya sarbboy iita meeze."
"You need to change your eating habits.","muussaa meeziya laammanaassi koshshees."
"We have to be determined to put","Nuuni meeziya oosuwan peeshshanaw koshshees."
"Telling a","oduwa%1. noun%► telling%● Shilootan worddo odoy wogaa kanttiyogaa."
"Each","Missa missa layttan nuuni halaqaassi oduwa/pissiya shiishsheettees."
"Today's news","news%● Hachchi odoy iita; usuppun asay kaamiya daafan hayqqiis."
"She tore the letter angrily after she had read it.","yiilluwan peeragaasu."
"Take care, you may tear the book.","Akeeka, neeni maxaafaa peerananne."
"After he broke the","posttaa maatafaa peeri simmin, xoonidaagee odettiis."
"The class should contribute some money to help the","miishsha peeranawu bessees."
"Your","poor girl.%● Entte dirjjitee nu maabaraassi daro miishshaa peeriis."
"Don't move anything behind that glass.","qaattoppa."
"Why","move liquid or substance around%● Taman de'iya woxiya ayssi qaattikkii?"
"The dog wags its tail.%(syn)","wiggle; waggle; shake%● Kanay goynaa qaattees."
"He instigated anger among people.","qaattiis."
"If you repeat what you have said, it will be clear for me.","giidoogee gelana."
"He","I laaguwa paaciya aadhdhibeenna gishshawu, zaarettidi tamaaranawu bessees."
"Please repeat what you have just","hayyanaa zaarettarkkii. Taani siyabeykke."
"The teacher should review the lesson with the","zaarettanawu koshshees."
"Man proposes. God fulfills.","%● Asi qoppes.Xoossi polees."
"Why is everyone here? What is happening?","ayssi yiidee? Aybee kiyiday?"
"The population of our country","biittaa asaa qooday eessuwan gujji gujji bees."
"They live in a","is rising very fast.%● Eti metoy de'iyo asaa giddon de'oosona."
"People will come for the meeting.","sick society.%● Asay yaa'aayyoo yaana."
"One person at the back of the","Issi asi keettaappe guyyeera oyshaa oychchiis."
"We see with our eyes.","ayfiya%1. noun%► eye%● Nuuni nu ayfiyan xeelleettees."
"As he heard of his","I ba aayee hayquwa siyosaara, A ayfee afuttan kumiis."
"seed","mother's death, his eyes filled with tears.%► seed; crop%● mittaa ayfiya"
"The experts discovered quite a number of ways to improve","ogeta demmidosona."
"The consequence of drinking liquor is","uyiyogawu ayfee mattottiyogaa."
"We see with our eyes.","ayfiya%1. noun%► eye%● Nuuni nu ayfiyan xeelleettees."
"As he heard of his","I ba aayee hayquwa siyosaara, A ayfee afuttan kumiis."
"seed","mother's death, his eyes filled with tears.%► seed; crop%● mittaa ayfiya"
"The experts discovered quite a number of ways to improve","ogeta demmidosona."
"The consequence of drinking liquor is","uyiyogawu ayfee mattottiyogaa."
"It is not raining anymore.%(syn) [xoohiis,","bukkenna.Let's go out now."
"May God give you the strength to thresh the teff.","immo!"
"She is churning butter.","A maattaa bukkaydda dawsu."
"He was spitting blood from a badly cut","qanxxettin suuttaa cuchchiiddi dees."
"It is impolite to spit in front of","lip. %● Asa sinttan cuchchiyogee lo''enna."
"Her family disowned her for marrying a foreigner.","O cuchchiis."
"The father","contempt, have no respect %► bless %● Aaway naatu bolli cuchchiis."
"He was","startled, be alarmed, be frightened %● I daafay gakkin iita dagammiis."
"He fell in love with","duuxxiis]%► fall in love %● I na'iyo be'idi dagammiis."
"The eucalyptus seedling withered.","awaa be'idi dagammiis."
"Many","innumerable, numerous%● Daro naati tamaare keettaa otobisiyan boosona."
"The bus can hold a maximum of fifty students.","oykkees."
"Much of my work involves talking on the phone.%","baggay silkkiyan haasayiyobaa."
"He","geenna, kotte]%2 . adverb%► a lot, more%● I bari ishaatoo daro haasayees."
"Thanks a lot.","talks a lot like his brother.%● Daro galatos."
"It is believed that a country should pursue","koshshennaagee ammanettidaagaa."
"Had some brilliant","qaadaa demmidaakko, gaxare dichchaw hira shin attiis."
"The students stood up when the teacher entered the","tamaareti eqqidosona."
"Stand when a visitor comes in.","class. %● Xomoosiya uray yiyo wode eqqa dendda."
"You and I were sweethearts, but our","ooshshaappe simmin nu gaytotay eqqiis."
"Blood clotting agents help our blood to clot. %2.","eqqanaadan maaddoosona."
"I can't reach the","kerssuwa huuphiya wombbaran eqqennan gakkanawu daddayikke."
"The maize is ripe","ready for harvesting%● Badalay gakkidi cahawu gakki uttiis."
"Children come to maturity at different ages.","asa gammi gakkees."
"She cleaned the clothes.","maayuwa geeshshaasu."
"One who cleans himself, also cleans his","geeshshatettaakka naagees."
"He scrubbed the dirty shoes.%","neighborhood.%● I caammaa urqqaa geeshshiis."
"When I took the tablet, I was cured of tapeworms.","koosoy geeshshiis."
"In the Holy Bible it says Christ's blood","nagaraappe geeshshiyogaa yootees."
"The dog was tired and sat","Kanay garawaa gooddi simmidi xalalidaagee uttiis."
"He chased a hyena from his backyard.%(syn) [yedettis, baanaa","goodiis."
"The","gidiyogee qoncci simmin, uteeliya halaafee uteeliyan oottiyaro gooddiis."
"Because of his crime, he was","oottido danuwa gaasuwan, heeraappe goodettiis."
"My brother drives the car carefully; he doesn't have accidents.","A gaakkenna."
"He has a lot of","Assi daro miishshay de'ees; ooratta kaamiya shammana koyees."
"Are you able to","money; he would like to buy a new car.%● Kaamiya laaguwa eray?"
"Don't drive the car fast!","drive a vehicle?%● Kaamiya dirbbada laaggoppa!"
"I have a license, so I am allowed to drive a car.%(syn)","laagganaw anttettees."
"A hyena is afraid of walking on the streets at night.","yayyees."
"I live in","keettaa%1. noun%► house; mansion%● Taani yelettido keettan de'ays."
"He is going","the house where I was born.%● I ooratta keettaa keexxana hanees."
"He","to build a new house.%(syn) [golliya]%► home%● I nu keettaa geli erenna."
"Would you","has never entered our home.%► floor%● Hayyanaa, keettaa meeccuutee?"
"He hid the money in the box and left.","saaxiniyan qottidi kare kiyiis."
"He came out when I came back.","yiyo wode kare kiyiichchiis."
"I left immediately from the bus stand/bus station.","sohuwara kiyaas."
"He was going out when we arrived at home.","gakkiyode kare kiyiiddi dees."
"He started","become; happen%● I asttamaare kiyi simmidi oosuwa doommi aggiis."
"The milk was churned.","kiyiis."
"The reckless driver placed everyone in danger.","ubbaa daafan gelissiis."
"He is bold; he is not afraid of","xala O sinttankka haasayanawu yayyenna."
"The brave","speaking in front of anybody.%● Xala bitanee olaa ba sheniyan biis."
"Would it be presumptuous of us to ask to borrow your","xala giissanddeeshsha?"
"Overconfident thought is not","car?%● Likkiyappe aadhdhida xala qofay lo''enna."
"Nobody can find the answer to this","attin haray oonne demmanawu danddayenna."
"She","question except the teacher.%● A ta dabidaabbiyawu zaaruwa kiittabeykku."
"Give the right","has not sent a reply to my letter.%● Oyshawu tumu zaaruwa imma."
"Why don't you respond my","answer to the question.%● Ta oyshaa ayssi zaarkkii?"
"She she didn't","question?%► proposal%● A ta oyshawu ay zaaronne immabeykku."
"People should","duussaa metuwassi zaaruwa demmanawu asay baaxetanawu bessees."
"He stood to greet the guests.","eqqiis."
"The Holy Bible says","Geeshsha Maxaafay Yesuusi hayquwappe denddidoogaa yootees."
"The baby woke up when I called my mother.%(syn)","xeessiyode denddiis."
"The beverae fermented.","[beegottiis, suuriis]%► ferment%● Ushshay denddiis."
"He stood to greet the guests.","eqqiis."
"The Holy Bible says","Geeshsha Maxaafay Yesuusi hayquwappe denddidoogaa yootees."
"The baby woke up when I called my mother.%(syn)","xeessiyode denddiis."
"The beverae fermented.","[beegottiis, suuriis]%► ferment%● Ushshay denddiis."
"Knowledge is light.","eraa%1. noun%► knowledge; wisdom; awareness%● Eri poo'o."
"Having a wisdom is fear of God.%(syn) [bilaa,","Eray Xoossayyoo yayyiyogaa."
"Skill is being able to do something.","danddayiyogaa."
"She hasn't the capacity to express her thoughts effectively.","baawa."
"Because of her competence in speaking English, my","zaariyo oyshaa aadhdhaasu."
"She fastened the torn clothes by stitching them.","oyttaasu."
"I","catch fire, switch on, put on%● Genee A keettan tamaa oyttennan aggenna."
"They","think his enemy set fire to his house.%● Eti meegin tamaa oyttidosona."
"The little girl does not know how to ignite a fire.%(syn)","oytuwa danddayukku."
"This goat is young; it","deeshshay yelaga; birassidi macca deeshshata oyttenna."
"Listen to those men. What language are","ezgga. Eti ayba qaalaa haasayiyonaa?"
"The","they speaking?%► word%● Cenggurssati issippe gayttidi qaalaa medhdhoosona."
"I made a promise to give her gold.","qaalaa gelaas."
"He undressed and washed himself.","I maayuwa qaaridi meecettiis."
"The storm stripped the roof from his hut.%(syn)","kaaraa gotee qaariis."
"He killed the cow and skinned it.","galbba qaariis"
"The butcher skinned an ox.%(syn) [gaggiis.]","qaariis."
"It is not good to humiliate a person.%(syn) [biittan","qaariyogee lo''enna."
"These trousers","keehi adduqqoosona; maayuwa sikkiyagee eta qanttiyakko keha."
"Drinking alcohol often","Mattoyiya ushshaa darotoo uyiyogee ne bariya qanttees."
"When Wolaita Development","(qanttan xaafiyode) W.D.A. geetetti xaafettees."
